1462795661463315	330	d3	f9	f2	45	cf	4b	19112
1462795661463419	331	3f	85	da	f3	11	d0	19233
1462795661490307	334	7e	66	84	e1	18	9a	19354
1462795661491275	336	90	f5	47	c7	e4	4e	19475
1462795661492250	338	50	19	6f	2e	7f	e5	19596
1462795661493235	340	92	68	76	e4	ca	a2	19717
1462795661520425	347	bb	c3	54	ba	5a	70	19838
1462795661520577	348	dd	0d	0f	e1	b7	de	19959
1462795661520696	349	29	d8	f8	7f	f3	13	20080
1462795661521326	351	df	db	f8	60	83	04	20201
1462795661521428	352	2e	ab	e8	a8	bf	c6	20322
1462795661548323	354	ce	8d	87	3e	71	51	20443
1462795661549317	356	68	61	27	aa	97	95	20564
1462795661550318	358	72	bd	28	a0	30	53	20685
1462795661550421	359	89	88	a9	32	fb	eb	20806
1462795661551240	361	0d	89	db	5d	94	f1	20927
1462795661551442	363	04	aa	b0	35	dd	66	21048
1462795661576339	365	1c	ca	c9	64	51	d7	21169
1462795661577334	367	e7	d3	06	7a	85	48	21290
1462795661578324	369	28	c0	af	da	b1	3c	21411
1462795661579329	371	cf	50	45	e6	7b	2a	21532
1462795661580399	373	a8	e9	8e	a4	df	b0	21653
1462795661581233	375	e2	c0	4c	3a	45	75	21774
1462795661605345	377	1a	d5	c2	d8	ab	47	21893
1462795661605446	378	7b	fc	e5	b1	05	8b	22012
1462795661607346	380	ce	83	c1	d7	8c	26	22131
1462795661607449	381	a1	9f	33	37	03	ee	22250
1462795661609346	383	d9	46	38	a7	3a	cb	22366
1462795661609466	384	5e	de	ed	1f	21	01	22485
1462795661634333	386	bc	9b	c2	ad	25	e7	22606
1462795661634433	387	da	36	64	8e	7f	d2	22727
1462795661636348	389	e7	cd	16	56	94	2a	22848
1462795661636451	390	73	76	df	fc	e7	55	22969
1462795661638351	392	1f	6f	b5	42	db	b5	23090
1462795661638452	393	e2	14	13	89	81	eb	23211
1462795661663350	395	5a	6d	79	ad	27	a2	23332
1462795661663452	396	60	0c	a0	df	97	e9	23453
1462795661665315	398	97	26	e1	f0	3c	ad	23574
1462795661665418	399	b0	d6	48	4c	b1	c8	23695
1462795661667313	401	9d	01	2a	00	02	00	23772
1462795661667416	402	15	a7	b0	10	d9	d7	23893
1462795661692352	404	eb	f0	23	16	b7	8c	24014
1462795661692456	405	32	7a	9a	90	86	9f	24135
1462795661694365	407	0c	a2	e4	0e	7d	19	24256
1462795661694467	408	04	3f	82	69	61	93	24377
1462795661696326	410	3c	28	26	c6	00	42	24498
1462795661696429	411	cf	a1	51	39	86	6c	24619
1462795661696539	412	c9	74	80	55	f2	39	24740
1462795661721359	414	cd	da	da	87	66	f6	24861
1462795661721872	415	9d	01	2a	00	02	00	24897
1462795661723325	417	75	68	71	80	11	9b	25018
1462795661723428	418	9f	f8	1e	85	46	e4	25139
1462795661749380	420	84	de	ea	28	e7	ec	25260
1462795661749486	421	16	c8	e6	ee	61	55	25381
1462795661749590	422	2f	9a	c7	7b	36	77	25502
1462795661749691	423	a3	e4	ca	77	42	d4	25621
1462795661751368	425	66	44	1f	2b	34	fe	25740
1462795661751469	426	dc	28	63	6a	61	93	25859
1462795661777371	428	9d	01	2a	00	02	00	25977
1462795661777495	429	75	68	71	80	11	9b	26096
1462795661779358	431	9f	f8	1e	85	46	e4	26215
1462795661779460	432	84	de	ea	28	e7	ec	26334
1462795661780325	434	16	c8	e6	ee	61	55	26453
1462795661780451	435	2f	9a	c7	7b	36	77	26572
1462795661781261	437	a3	e4	ca	77	42	d4	26691
1462795661806364	439	66	44	1f	2b	34	fe	26812
1462795661806464	440	dc	28	63	6a	61	93	26933
1462795661808485	442	9d	01	2a	00	02	00	27053
1462795661808587	443	ab	1b	f7	8b	ca	90	27174
1462795661809462	445	11	ba	be	ca	65	ac	27295
1462795661809566	446	a0	bb	b1	76	eb	95	27416
1462795661834357	448	62	cc	1d	33	7d	81	27537
1462795661834461	449	de	f3	07	44	d0	73	27658
1462795661835343	451	1b	b0	95	3a	a0	59	27779
1462795661837377	453	5f	4d	9f	5f	a2	b8	27900
1462795661837479	454	0b	a7	44	54	6f	3e	28021
1462795661838374	456	9d	01	2a	00	02	00	28126
1462795661838477	457	ab	1b	f7	8b	ca	90	28247
1462795661863361	459	11	ba	be	ca	65	ac	28368
1462795661863471	460	a0	bb	b1	76	eb	95	28489
1462795661863577	461	62	cc	1d	33	7d	81	28610
1462795661865527	463	de	f3	07	44	d0	73	28731
1462795661865681	464	1b	b0	95	3a	a0	59	28852
1462795661866390	466	5f	4d	9f	5f	a2	b8	28973
1462795661867378	468	0b	a7	44	54	6f	3e	29094
1462795661868033	469	9d	01	2a	00	02	00	29199
1462795661892430	471	ab	1b	f7	8b	ca	90	29320
1462795661892567	472	11	ba	be	ca	65	ac	29439
1462795661893380	474	a0	bb	b1	76	eb	95	29558
1462795661893527	475	62	cc	1d	33	7d	81	29677
1462795661895519	477	de	f3	07	44	d0	73	29796
1462795661895666	478	1b	b0	95	3a	a0	59	29915
1462795661896285	480	5f	4d	9f	5f	a2	b8	30034
1462795661920389	484	0b	a7	44	54	6f	3e	30153
1462795661921116	485	9d	01	2a	00	02	00	30256
1462795661922411	487	ab	1b	f7	8b	ca	90	30375
1462795661922539	488	11	ba	be	ca	65	ac	30494
1462795661923385	490	a0	bb	b1	76	eb	95	30613
1462795661923508	491	62	cc	1d	33	7d	81	30732
1462795661925454	493	de	f3	07	44	d0	73	30851
1462795661925605	494	1b	b0	95	3a	a0	59	30970
1462795661948392	496	5f	4d	9f	5f	a2	b8	31089
1462795661948500	497	0b	a7	44	54	6f	3e	31208
1462795661950966	499	9d	01	2a	00	02	00	31311
1462795661951119	500	ab	1b	f7	8b	ca	90	31430
1462795661952366	502	11	ba	be	ca	65	ac	31549
1462795661952468	503	a0	bb	b1	76	eb	95	31668
1462795661953380	505	62	cc	1d	33	7d	81	31787
1462795661976470	507	de	f3	07	44	d0	73	31906
1462795661976626	508	1b	b0	95	3a	a0	59	32025
1462795661976748	509	5f	4d	9f	5f	a2	b8	32144
1462795661977379	511	0b	a7	44	54	6f	3e	32263
1462795661981092	513	9d	01	2a	00	02	00	32366
1462795661981248	514	ab	1b	f7	8b	ca	90	32487
1462795661981435	516	11	ba	be	ca	65	ac	32608
1462795661981561	517	a0	bb	b1	76	eb	95	32729
1462795662004416	519	62	cc	1d	33	7d	81	32850
1462795662006441	521	de	f3	07	44	d0	73	32971
1462795662006595	522	1b	b0	95	3a	a0	59	33092
1462795662006751	523	5f	4d	9f	5f	a2	b8	33213
1462795662007302	525	0b	a7	44	54	6f	3e	33334
1462795662011053	527	9d	01	2a	00	02	00	33439
1462795662011217	529	ab	1b	f7	8b	ca	90	33560
1462795662011362	530	11	ba	be	ca	65	ac	33681
1462795662011505	531	a0	bb	b1	76	eb	95	33802
1462795662034387	533	62	cc	1d	33	7d	81	33923
1462795662036500	535	de	f3	07	44	d0	73	34044
1462795662036654	536	1b	b0	95	3a	a0	59	34165
1462795662036788	537	5f	4d	9f	5f	a2	b8	34286
1462795662037324	539	0b	a7	44	54	6f	3e	34407
1462795662046665	542	9d	01	2a	00	02	00	34512
1462795662046813	543	e3	e2	86	3f	d1	10	34633
1462795662046972	544	18	3d	99	20	0b	80	34754
1462795662047096	545	32	c4	6d	29	49	8f	34875
1462795662064295	547	d0	ac	bb	39	54	68	34994
1462795662064428	548	5f	f9	9d	1d	f1	d7	35113
1462795662064557	549	f9	19	b7	1a	e8	16	35232
1462795662067400	552	a8	1b	42	c6	03	6a	35351
1462795662067550	553	7f	ba	14	48	a8	92	35470
1462795662097719	559	9d	01	2a	00	02	00	35503
1462795662097867	560	08	a3	e9	20	fc	53	35622
1462795662097995	561	09	34	03	a3	38	e9	35741
1462795662098128	562	35	ae	5c	a1	db	7d	35860
1462795662098240	563	0c	91	ed	06	db	8f	35979
1462795662098376	564	4a	f8	e3	e5	54	75	36098
1462795662098499	565	ce	07	3c	47	a7	d9	36217
1462795662098648	566	79	e6	56	8b	af	8e	36336
1462795662098771	567	9f	0e	6c	85	84	7b	36455
1462795662147810	572	9d	01	2a	00	02	00	36501
1462795662147930	573	72	9a	9f	69	41	03	36620
1462795662148088	574	8d	2d	70	fc	05	72	36739
1462795662148218	575	93	77	17	b3	aa	01	36858
1462795662148340	576	ec	83	7c	86	5d	05	36977
1462795662148467	577	6b	e0	4f	2b	04	c3	37096
1462795662148608	578	f1	03	4d	e8	ec	7a	37215
1462795662148762	579	5f	50	e0	64	12	ff	37334
1462795662148865	580	48	44	9a	eb	fd	5f	37453
1462795662178355	584	9d	01	2a	00	02	00	37505
1462795662206838	591	9d	01	2a	00	02	00	37624
1462795662206984	592	72	9a	9f	69	41	03	37743
1462795662207098	593	8d	2d	70	fc	05	72	37862
1462795662207220	594	93	77	17	b3	aa	01	37981
1462795662207377	595	ec	83	7c	86	5d	05	38100
1462795662207483	596	6b	e0	4f	2b	04	c3	38219
1462795662207585	597	f1	03	4d	e8	ec	7a	38338
1462795662235458	599	5f	50	e0	64	12	ff	38457
1462795662235585	600	48	44	9a	eb	fd	5f	38576
1462795662261615	607	9d	01	2a	00	02	00	38628
1462795662261762	608	cb	38	11	e2	18	88	38747
1462795662261875	609	e4	d5	bc	8c	1e	7a	38866
1462795662261979	610	8d	19	d6	88	7b	ca	38985
1462795662262080	611	63	33	00	b4	77	0e	39104
1462795662262179	612	98	62	56	13	26	6a	39223
1462795662263382	614	75	59	9f	fa	b6	80	39342
1462795662263483	615	3a	ce	f5	5c	1e	2a	39461
1462795662264377	617	64	74	e5	5a	36	67	39580
1462795662313059	624	9d	01	2a	00	02	00	39637
1462795662313233	625	f4	8f	2c	df	7f	7f	39758
1462795662313358	626	e3	8d	ae	ce	4d	32	39879
1462795662313501	627	6b	3c	81	32	94	b7	40000
1462795662313627	628	99	41	35	14	00	ea	40121
1462795662313758	629	0c	01	79	f3	f6	1a	40242
1462795662313887	630	df	3f	1c	56	36	6e	40363
1462795662313992	631	e4	92	70	16	fe	9b	40484
1462795662314096	632	b3	14	89	34	5a	e5	40605
1462795662362536	638	9d	01	2a	00	02	00	40679
1462795662362669	639	51	6f	c1	5a	5d	f9	40800
1462795662362787	640	fa	66	e0	89	ba	5a	40921
1462795662362929	641	fb	d3	24	d5	c4	3a	41042
1462795662363052	642	ac	7c	91	ac	5f	99	41163
1462795662363208	643	52	e9	69	d5	ee	1f	41284
1462795662363316	644	7e	41	27	e1	28	7d	41405
1462795662363430	645	a7	d6	53	b8	1c	2c	41526
1462795662363535	646	96	3d	87	31	df	84	41647
1462795662413670	652	9d	01	2a	00	02	00	41758
1462795662413816	653	51	6f	c1	5a	5d	f9	41879
1462795662413934	654	fa	66	e0	89	ba	5a	42000
1462795662414050	655	fb	d3	24	d5	c4	3a	42121
1462795662414186	656	ac	7c	91	ac	5f	99	42240
1462795662414315	657	52	e9	69	d5	ee	1f	42359
1462795662414458	658	7e	41	27	e1	28	7d	42478
1462795662414567	659	a7	d6	53	b8	1c	2c	42597
1462795662414673	660	96	3d	87	31	df	84	42716
1462795662466581	668	9d	01	2a	00	02	00	42825
1462795662466771	669	51	6f	c1	5a	5d	f9	42944
1462795662466912	670	fa	66	e0	89	ba	5a	43063
1462795662467021	671	fb	d3	24	d5	c4	3a	43182
1462795662467147	672	ac	7c	91	ac	5f	99	43301
1462795662467276	673	52	e9	69	d5	ee	1f	43420
1462795662467406	674	7e	41	27	e1	28	7d	43539
1462795662467512	675	a7	d6	53	b8	1c	2c	43658
